codigo_dane,año,secuestro_mindef
19001,2019,4.0
19001,2021,2.0
19001,2022,1.0
19001,2023,5.0
19075,2023,1.0
19100,2022,4.0
19100,2023,3.0
19130,2022,2.0
19130,2023,5.0
19142,2019,1.0
19142,2020,6.0
19142,2023,1.0
19212,2019,1.0
19212,2020,3.0
19212,2021,5.0
19212,2022,1.0
19212,2023,1.0
19256,2020,1.0
19256,2021,2.0
19256,2022,1.0
19290,2023,1.0
19300,2021,1.0
19318,2019,1.0
19318,2020,2.0
19364,2019,1.0
19392,2023,1.0
19450,2023,1.0
19513,2020,1.0
19517,2019,1.0
19517,2021,2.0
19532,2022,1.0
19532,2023,3.0
19548,2019,5.0
19573,2021,1.0
19573,2022,3.0
19622,2023,1.0
19698,2019,1.0
19698,2022,1.0
19698,2023,2.0
19743,2023,2.0
19760,2019,1.0
19780,2022,1.0
19807,2021,1.0
19821,2020,1.0
19824,2020,3.0
