codigo_dane,ano,soldados_victim_mindef
19001,2019,6.0
19001,2020,1.0
19001,2021,8.0
19001,2022,2.0
19022,2022,1.0
19050,2020,5.0
19050,2021,30.0
19050,2022,15.0
19050,2023,35.0
19075,2022,9.0
19075,2023,2.0
19100,2022,1.0
19100,2023,2.0
19110,2019,2.0
19110,2022,4.0
19110,2023,2.0
19130,2019,3.0
19142,2019,1.0
19142,2020,2.0
19142,2021,3.0
19142,2023,2.0
19212,2019,5.0
19212,2020,3.0
19212,2021,1.0
19212,2022,7.0
19212,2023,2.0
19256,2022,2.0
19256,2023,8.0
19290,2021,5.0
19300,2019,1.0
19300,2023,2.0
19355,2020,1.0
19355,2023,1.0
19364,2020,1.0
19364,2021,2.0
19397,2020,5.0
19418,2022,1.0
19455,2020,4.0
19473,2019,4.0
19473,2021,1.0
19473,2023,4.0
19532,2021,3.0
19532,2022,13.0
19533,2019,1.0
19533,2020,1.0
19533,2023,1.0
19548,2023,1.0
19573,2019,2.0
19573,2020,4.0
19573,2021,2.0
19573,2022,1.0
19573,2023,3.0
19698,2019,22.0
19698,2020,2.0
19698,2021,7.0
19698,2023,5.0
19701,2022,1.0
19780,2019,4.0
19780,2020,1.0
19780,2021,6.0
19780,2022,7.0
19780,2023,11.0
19807,2020,5.0
19807,2022,2.0
19807,2023,1.0
19809,2022,1.0
19821,2020,1.0
19821,2022,2.0
